R1_EP_DR,-1.20,-8.00,0.00,0.47,ERA-1AEB3401C_0201
R1_USB,1.00,10.00,180.00,5K1,ERA-1AEB3401C_0201
R2,-10.60,16.80,0.00,0,ERA-1AEB3401C_0201
R2_EP_DR,-2.10,-8.00,0.00,10K,ERA-1AEB3401C_0201
R2_USB,-1.80,10.00,0.00,5K1,ERA-1AEB3401C_0201
R3,-17.50,8.10,0.00,0,ERA-1AEB3401C_0201
R4,-10.60,15.80,0.00,0,ERA-1AEB3401C_0201
R5,-12.40,-12.20,180.00,10k,ERA-1AEB3401C_0201
R7,9.60,-12.20,180.00,10k,ERA-1AEB3401C_0201
R8,-1.40,-12.20,180.00,10k,ERA-1AEB3401C_0201
R9,-3.30,6.80,0.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,15.90,9.40,90.00,10K,ERA-1AEB3401C_0201
R_TYPE_SEL,-0.20,-8.00,0.00,2.2,ERA-1AEB3401C_0201
SJ1,-0.60,-9.90,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP1,-9.00,11.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP2,-6.60,11.60,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3.3V,7.50,-6.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-20.60,13.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,11.10,13.50,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,-3.70,-9.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,5.00,-6.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-15.50,9.20,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-10.80,9.20,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,10.30,-6.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,10.25,-9.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,7.65,-9.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,7.70,10.90,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-18.00,15.80,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,7.80,0.40,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,7.70,14.80,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,13.80,4.00,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,1.05,0.25,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
